"","date","hits","keyword","geo","time","gprop","category"
"258",2011-06-01,34,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"259",2011-07-01,35,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"260",2011-08-01,0,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"261",2011-09-01,100,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"262",2011-10-01,31,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"263",2011-11-01,63,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"264",2011-12-01,58,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"265",2012-01-01,28,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"266",2012-02-01,30,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"267",2012-03-01,68,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"268",2012-04-01,93,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"269",2012-05-01,0,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"270",2012-06-01,52,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"271",2012-07-01,40,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"272",2012-08-01,26,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"273",2012-09-01,27,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"274",2012-10-01,23,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"275",2012-11-01,27,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"276",2012-12-01,0,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"277",2013-01-01,36,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"278",2013-02-01,37,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"279",2013-03-01,24,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"280",2013-04-01,71,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"281",2013-05-01,45,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"282",2013-06-01,46,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"283",2013-07-01,49,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"284",2013-08-01,24,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"285",2013-09-01,23,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"286",2013-10-01,0,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"287",2013-11-01,0,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"288",2013-12-01,24,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"289",2014-01-01,0,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"290",2014-02-01,24,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"291",2014-03-01,22,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"292",2014-04-01,40,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"293",2014-05-01,40,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"294",2014-06-01,23,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"295",2014-07-01,43,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"296",2014-08-01,0,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"297",2014-09-01,57,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"298",2014-10-01,16,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"299",2014-11-01,16,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"300",2014-12-01,32,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"301",2015-01-01,16,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"302",2015-02-01,18,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"303",2015-03-01,16,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"304",2015-04-01,35,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"305",2015-05-01,39,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"306",2015-06-01,21,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"307",2015-07-01,24,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"308",2015-08-01,24,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"309",2015-09-01,0,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"310",2015-10-01,22,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"311",2015-11-01,23,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"312",2015-12-01,23,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"313",2016-01-01,0,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"314",2016-02-01,65,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"315",2016-03-01,42,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"316",2016-04-01,63,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"317",2016-05-01,0,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"318",2016-06-01,22,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"319",2016-07-01,23,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"320",2016-08-01,23,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"321",2016-09-01,0,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"322",2016-10-01,40,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"323",2016-11-01,20,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"324",2016-12-01,19,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"325",2017-01-01,19,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"326",2017-02-01,20,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"327",2017-03-01,53,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"328",2017-04-01,67,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"329",2017-05-01,28,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"330",2017-06-01,20,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"331",2017-07-01,21,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"332",2017-08-01,39,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"333",2017-09-01,20,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"334",2017-10-01,19,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"335",2017-11-01,20,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"336",2017-12-01,0,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
